basin,ncrmpRegion,region,subRegion,siteName,PRIMARY_SAMPLE_UNIT,YEAR,LAT_DEGREES,LON_DEGREES,latitudeFishSurvey,longitudeFishSurvey,latitudeBMU,longitudeBMU,perryDensity,density_ind_ha,deltaDensity,perryBiomass,biomass_kg_ha,deltaBiomass,bioerosion_kg_m2_yr1
atlantic,FLK,FLK,middle,offshore,1436,2022,24.62554,-81.11239,24.62554,-81.11239,24.62554,-81.11239,1193.181818,1751.412429,-558.230611,68.14064593,91.29028446,-23.14963853,0.429757757
atlantic,FLK,FLK,middle,offshore,1477,2022,24.62201,-81.11191,24.62201,-81.11191,24.62201,-81.11191,539.7727273,677.9661017,-138.1933744,27.7624563,26.51854299,1.24391331,0.010181819
atlantic,FLK,FLK,middle,offshore,1478,2022,24.62547,-81.10481,24.62547,-81.10481,24.62547,-81.10481,511.3636364,1158.19209,-646.8284536,9.20589817,12.83413825,-3.62824008,0.003232821
atlantic,FLK,FLK,middle,inshore,1552,2018,24.67373,-81.063035,24.6737305,-81.06303122,24.6737305,-81.06303122,284.0909091,692.0903955,-407.9994864,31.07331029,43.0988374,-12.02552711,0.007954852
atlantic,FLK,FLK,middle,offshore,1657,2016,24.632365,-81.090905,24.63236558,-81.09090326,24.63236558,-81.09090326,1200.340909,1518.418079,-318.07717,286.494598,312.4361265,-25.9415285,2.934089112
atlantic,FLK,FLK,middle,offshore,1680,2022,24.63308,-81.08176,24.63308,-81.08176,24.63308,-81.08176,1306.818182,1610.169492,-303.35131,567.5231588,674.7440118,-107.220853,0.688850578
atlantic,FLK,FLK,middle,offshore,9036,2022,24.62724,-81.11044,24.62724,-81.11044,24.62724,-81.11044,312.5,593.220339,-280.720339,18.67357204,27.73735853,-9.06378649,0.006298602
atlantic,FLK,FLK,middle,offshore,9069,2022,24.6249,-81.11135,24.6249,-81.11135,24.6249,-81.11135,170.4545455,169.4915254,0.9630201,11.75760091,8.086148701,3.671452209,0.001487059
atlantic,FLK,FLK,middle,offshore,9070,2022,24.62589,-81.1104,24.62589,-81.1104,24.62589,-81.1104,426.1363636,762.7118644,-336.5755008,191.0514269,316.2202088,-125.1687819,1.117546678
atlantic,FLK,FLK,middle,offshore,9151,2022,24.62678,-81.11092,24.62678,-81.11092,24.62678,-81.11092,397.7272727,621.4689266,-223.7416539,194.352805,179.248876,15.103929,1.004645557
atlantic,FLK,FLK,middle,offshore,9194,2022,24.62538,-81.11042,24.62538,-81.11042,24.62538,-81.11042,767.0454545,875.7062147,-108.6607602,657.2312865,722.5284967,-65.2972102,0.007510428
atlantic,DRTO,DRTO,west,Bird Key Reef,2073,2016,24.606845,-82.87195,24.60684558,-82.87195053,24.60684558,-82.87195053,85.22727273,522.5988701,-437.3715974,6.362893661,10.34187712,-3.978983459,0.001293128
